1,035$a,074$a,086$a,264$c,856,955$b,245$a,245$b
1111063,(OCoLC)1130591339,0621-L (online),I 19.127:2019-3065,2019,https://purl.fdlp.gov/GPO/gpo129262;Address at time of PURL creationhttps://pubs.usgs.gov/fs/2019/3065/fs20193065.pdf,20191212,"Escherichia coli in the Santa Cruz River in Tumac̀cori National Historical Park, Arizona /",
1111107,(OCoLC)681182055,0624-B-05 (online),I 19.42/4:96-4263,1996,https://purl.fdlp.gov/GPO/gpo123359;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1996/4263/report.pdf,20191204,"Summary of biological investigations relating to water quality in the western Lake Michigan drainages, Wisconsin and Michigan /",
1111120,(OCoLC)1130757287,0083-B-06 (online),A 13.88:FPL-GTR-270,September 2019.,https://purl.fdlp.gov/GPO/gpo129286;Address at time of PURL creationhttps://www.fpl.fs.fed.us/documnts/fplgtr/fpl_gtr270.pdf,20191213,Comparative life-cycle assessment of biochar activated carbon and synthesis gas electricity with commercially available alternatives /,
1111135,(OCoLC)1035838374,0612-C-10 (online),I 49.44/8:BTP-R 3017-2013,2017,https://purl.fdlp.gov/GPO/gpo129291;Address at time of PURL creationhttps://digitalmedia.fws.gov/digital/collection/document/id/2192/,20191204,Contaminants of emerging concern in the Great Lakes Basin :,"a report on sediment, water, and fish tissue chemistry collected in 2010-2012 /"
1111141,(OCoLC)1129457278,1017-C-07 (online),Y 4.F 76/1:116-60,2019,https://purl.fdlp.gov/GPO/gpo129317;Address at time of PURL creationhttps://www.govinfo.gov/content/pkg/CHRG-116hhrg36567/pdf/CHRG-116hhrg36567.pdf,20191204,Preserving the Amazon :,"a shared moral imperative : hearing before the Subcommittee on the Western Hemisphere, Civilian Security, and Trade of the Committee on Foreign Affairs, House of Representatives, One Hundred Sixteenth Congress, first session, September 10, 2019."
1111158,(OCoLC)958902890,0625 (online),I 19.13:987,1945.;1945.,https://purl.fdlp.gov/GPO/gpo129257;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0987/report.pdf,20191205,Water levels and artesian pressure in observation wells in the United States in 1943.,
1111160,(OCoLC)958900980,0625 (online),I 19.13:849-B,1941],https://purl.fdlp.gov/GPO/gpo129258;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0849b/report.pdf,20191205,"Effect upon ground-water levels of proposed surface-water storage in Flathead Lake, Montana /",
1111247,(OCoLC)1129591222,0807-A-09 (online),LC 14.24:IF 10806/,-2019,https://purl.fdlp.gov/GPO/gpo129417;Address at time of PURL creationhttps://crsreports.congress.gov/product/details?prodcode=IF10806,20191205,Bureau of Reclamation project authorization and financing /,
1111278,(OCoLC)1129597259,0629-E-12 (online),I 53.20/2:56,2001,https://purl.fdlp.gov/GPO/gpo129263;Address at time of PURL creationhttps://www.blm.gov/learn/blm-library/agency-publications/resource-notes,20191206,Prescribed burning as a restoration tool /,
1111287,(OCoLC)1129597432,0629-E-12 (online),I 53.20/2:58,2002,https://purl.fdlp.gov/GPO/gpo129374;Address at time of PURL creationhttps://www.blm.gov/learn/blm-library/agency-publications/resource-notes,20191206,Indicators of Hydrologic Alteration /,
1111328,(OCoLC)1129601700,1008-I (online),Y 1.1/8:116-291,[2019],PDF versionhttps://purl.fdlp.gov/GPO/gpo129465;Text versionhttps://purl.fdlp.gov/GPO/gpo129468;Address at time of PURL creationPDF versionhttps://www.govinfo.gov/content/pkg/CRPT-116hrpt291/pdf/CRPT-116hrpt291.pdf;Address at time of PURL creationText versionhttps://www.govinfo.gov/content/pkg/CRPT-116hrpt291/html/CRPT-116hrpt291.htm,20191206,"Amending the Federal Water Pollution Control Act to reauthorize the Lake Pontchartrain Basin Restoration Program, and for other purposes :",(to accompany H.R. 4275) (including cost estimate of the Congressional Budget Office).
1111329,(OCoLC)1129601606,1008-I (online),Y 1.1/8:116-287,[2019],PDF versionhttps://purl.fdlp.gov/GPO/gpo129466;Text versionhttps://purl.fdlp.gov/GPO/gpo129467;Address at time of PURL creationPDF versionhttps://www.govinfo.gov/content/pkg/CRPT-116hrpt287/pdf/CRPT-116hrpt287.pdf;Address at time of PURL creationText versionhttps://www.govinfo.gov/content/pkg/CRPT-116hrpt287/html/CRPT-116hrpt287.htm,20191206,Great Lakes Restoration Initiative Act of 2019 :,(to accompany H.R. 4031) (including cost estimate of the Congressional Budget Office).
1111330,(OCoLC)1129601882,1008-I (online),Y 1.1/8:116-290,[2019],PDF versionhttps://purl.fdlp.gov/GPO/gpo129469;Text versionhttps://purl.fdlp.gov/GPO/gpo129470;Address at time of PURL creationPDF versionhttps://www.govinfo.gov/content/pkg/CRPT-116hrpt290/pdf/CRPT-116hrpt290.pdf;Address at time of PURL creationText versionhttps://www.govinfo.gov/content/pkg/CRPT-116hrpt290/html/CRPT-116hrpt290.htm,20191206,Promoting United Government Efforts to Save Our Sound Act :,(to accompany H.R. 2247) (including cost estimate of the Congressional Budget Office).
1111336,(OCoLC)954173069,0625 (online),I 19.13:65,1902.;1902.,https://purl.fdlp.gov/GPO/gpo129324;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0065/report.pdf,20191209,"Operations at river stations, 1901.",a report /
1111341,(OCoLC)954174424,0625 (online),I 19.13:104,1904.;1904.,https://purl.fdlp.gov/GPO/gpo129339;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0104/report.pdf,20191209,"The underground waters of Gila Valley, Arizona, /",
1111347,(OCoLC)954174442,0625 (online),I 19.13:108,1904.;1904.,https://purl.fdlp.gov/GPO/gpo129340;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0108/report.pdf,20191209,Quality of water in the Susquehanna River drainage basin /,
1111353,(OCoLC)954174216,0625 (online),I 19.13:96,1904.;1904.,https://purl.fdlp.gov/GPO/gpo129341;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0096/report.pdf,20191209,Destructive floods of the United States in 1903 /,
1111354,(OCoLC)954173098,0625 (online),I 19.13:83,1903.;1903.,https://purl.fdlp.gov/GPO/gpo129344;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0083/report.pdf,20191209,Report of progress of stream measurements for the calendar year 1902.,
1111357,(OCoLC)954172981,0625 (online),I 19.13:172,1906.;1906.,https://purl.fdlp.gov/GPO/gpo129345;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0172/report.pdf,20191209,Report of progress of stream measurements for the calendar year 1905.,
1111363,(OCoLC)954173000,0625 (online),I 19.13:167,1906.;1906.,https://purl.fdlp.gov/GPO/gpo129346;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0167/report.pdf,20191209,Report of progress of stream measurements for the calendar year 1905.,
1111365,(OCoLC)954175286,0625 (online),I 19.13:176,1906.;1906.,https://purl.fdlp.gov/GPO/gpo129348;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0176/report.pdf,20191209,Report of progress of stream measurements for the calendar year 1905.,
1111368,(OCoLC)954173031,0625 (online),I 19.13:137,1905.;1905.,https://purl.fdlp.gov/GPO/gpo129349;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wsp137,20191209,Development of underground waters in the eastern coastal plain region of southern California /,
1111388,(OCoLC)1130061638,0646-R (online),I 29.89:2013/719,2013,https://purl.fdlp.gov/GPO/gpo129517;Address at time of PURL creationhttps://irma.nps.gov/DataStore/DownloadFile/485203,20191209,Crater Lake National Park :,geologic resources inventory report /
1111389,(OCoLC)1130062270,0646-R (online),I 29.89:2018/1783,2018,https://purl.fdlp.gov/GPO/gpo129525;Address at time of PURL creationhttps://irma.nps.gov/DataStore/DownloadFile/612535,20191209,Craters of the Moon National Monument and Preserve :,geologic resources inventory report /
1111396,(OCoLC)1130062644,0646-R (online),I 29.89:2011/458,2011,https://purl.fdlp.gov/GPO/gpo129533;Address at time of PURL creationhttps://irma.nps.gov/DataStore/DownloadFile/440050,20191209,Cumberland Gap National Historical Park :,geologic resources inventory report /
1111408,(OCoLC)954180215,0625 (online),I 19.13:235,1909.;1909.,https://purl.fdlp.gov/GPO/gpo129352;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0235/report.pdf,20191210,The purification of some textile and other factory wastes /,
1111410,(OCoLC)961226493,0625 (online),I 19.13:340-A,1914.;1914.,https://purl.fdlp.gov/GPO/gpo129354;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0340a/report.pdf,20191210,"Stream-gaging stations and publications relating to water sources, 1885-1913.",
1111416,(OCoLC)954180193,0625 (online),I 19.13:275,1911.;1911.,https://purl.fdlp.gov/GPO/gpo129355;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0275/report.pdf,20191210,"Geology and water resources of Estancia Valley, New Mexico :",with notes on ground-water conditions in adjacent parts of central New Mexico /
1111417,(OCoLC)958383361,0625 (online),I 19.13:349,1914.;1914.,https://purl.fdlp.gov/GPO/gpo129356;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wsp349,20191210,"Profile surveys in Willamette River basin, Oregon /",
1111420,(OCoLC)958383287,0625 (online),I 19.13:425-C,[1919];[1919],https://purl.fdlp.gov/GPO/gpo129357;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0425c/report.pdf,20191210,Hydraulic conversion tables and convenient equivalents.,
1111421,(OCoLC)961226416,0625 (online),I 19.13:360,1916.;1916.,https://purl.fdlp.gov/GPO/gpo129358;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0360/report.pdf,20191210,"Surface water supply of the United States, 1913.",
1111422,(OCoLC)961226412,0625 (online),I 19.13:382,1916.;1916.,https://purl.fdlp.gov/GPO/gpo129359;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0382/report.pdf,20191210,"Surface water supply of the United States, 1914.",
1111425,(OCoLC)961267931,0625 (online),I 19.13:404,1917.;1917.,https://purl.fdlp.gov/GPO/gpo129362;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0404/report.pdf,20191210,"Surface water supply of the United States, 1915.",
1111428,(OCoLC)961268022,0625 (online),I 19.13:433,1918.;1918.,https://purl.fdlp.gov/GPO/gpo129365;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0433/report.pdf,20191210,"Surface water supply of the United States, 1916.",
1111431,(OCoLC)958383230,0625 (online),I 19.13:417,1917.;1917.,https://purl.fdlp.gov/GPO/gpo129369;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wsp417,20191210,Profile surveys of rivers in Wisconsin /,
1111451,(OCoLC)682000598,0624-B-05 (online),I 19.42/4:93-4217,1996,https://purl.fdlp.gov/GPO/gpo127090;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1993/4217/report.pdf,20191210,"Geology and water-resources reconnaissance of Lenger Island, State of Pohnpei, Federated States of Micronesia, 1991 /",
1111463,(OCoLC)1089090478,0624-B-05 (online),I 19.42/4:89-4041,1989,https://purl.fdlp.gov/GPO/gpo127087;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1989/4041/report.pdf,20191210,"An inventory and evaluation of biological investigations that relate to stream-water quality in the upper Illinois River basin of Illinois, Indiana, and Wisconsin /",
1111473,(OCoLC)958382606,0625 (online),I 19.13:378,1915.;1915.,https://purl.fdlp.gov/GPO/gpo129370;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/wsp378,20191211,"Profile surveys in 1914 on Middle fork of Willamette river and White river, Oregon, /",
1111476,(OCoLC)961268053,0625 (online),I 19.13:436,1919.;1919.,https://purl.fdlp.gov/GPO/gpo129372;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0436/report.pdf,20191211,"Surface water supply of the United States, 1916.",
1111478,(OCoLC)961272336,0625 (online),I 19.13:542,1926.;1926.,https://purl.fdlp.gov/GPO/gpo129376;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0542/report.pdf,20191211,"Surface water supply of the United States, 1922.",
1111480,(OCoLC)961272442,0625 (online),I 19.13:601,1930.;1930.,https://purl.fdlp.gov/GPO/gpo129378;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0601/report.pdf,20191211,"Surface water supply of the United States, 1925.",
1111482,(OCoLC)1130308632,1045-C (online),Y 4.P 96/10:S.HRG.116-88,2019,https://purl.fdlp.gov/GPO/gpo129580;Address at time of PURL creationhttps://www.govinfo.gov/content/pkg/CHRG-116shrg38366/pdf/CHRG-116shrg38366.pdf,20191211,Oversight of the U.S. Army Corps of Engineers' management of the spring 2019 Missouri River Basin flooding :,"field hearing before the Subcommittee on Superfund, Waste Management, and Regulatory Oversight of the Committee on Environment and Public Works, United States Senate, One Hundred Sixteenth Congress, first session, August 28, 2019, North Sioux City, SD."
1111489,(OCoLC)961278407,0625 (online),I 19.13:1007,1946,https://purl.fdlp.gov/GPO/gpo129388;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/1007/report.pdf,20191211,"Surface water supply of the United States, 1944.",
1111497,(OCoLC)974647354,0624-B-05 (online),I 19.42/4:91-4174,1994,https://purl.fdlp.gov/GPO/gpo127081;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1991/4174/report.pdf,20191211,"Hydrology, water quality, and potential alternatives for water-resources development in the Río Majada and Río Lapa Basins near the Albergue Olímpico, southern Puerto Rico /",
1111512,(OCoLC)681864201,0624-B-05 (online),I 19.42/4:96-4223,1997,https://purl.fdlp.gov/GPO/gpo127144;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1996/4223/report.pdf,20191211,"Surface-water-quality assessment of the upper Illinois River Basin in Illinois, Indiana, and Wisconsin :",results of investigations through April 1992 /
1111520,(OCoLC)682121266,0624-B-05 (online),I 19.42/4:99-4132,1999,https://purl.fdlp.gov/GPO/gpo123358;Address at time of PURL creationhttps://pubs.usgs.gov/wri/wri994132/pdf/WRI994132.pdf,20191211,"Selected aquatic biological investigations in the Great Salt Lake basins, 1875-1998 :",National Water-Quality Assessment Program /
1111522,(OCoLC)1130311615,0624-B-02 (online),I 19.42/4-4:2019-5067,2019,https://purl.fdlp.gov/GPO/gpo129507;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/sir20195067,20191211,"Flood-inundation maps for a 23-mile reach of the Medina River at Bandera, Texas, 2018 /",
1111525,(OCoLC)1130311858,0621-L (online),I 19.127:2019-3046,2019,https://purl.fdlp.gov/GPO/gpo129455;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/fs20193046,20191211,Water priorities for the nation: the U.S. Geological Survey Next Generation Water Observing System.,
1111535,(OCoLC)1130312059,0624-B-02 (online),I 19.42/4-4:2019-5026,2019,https://purl.fdlp.gov/GPO/gpo129458;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/sir20195026,20191211,"Water-quality and geochemical variability in the Little Arkansas River and Equus Beds Aquifer, south-central Kansas, 2001-16 /",
1111538,(OCoLC)1130312063,0624-B-02 (online),I 19.42/4-4:2019-5041,2019,https://purl.fdlp.gov/GPO/gpo129484;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/sir20195041,20191211,The hydrologic benefits of wetland and prairie restoration in western Minnesota :,"lessons learned at the Glacial Ridge National Wildlife Refuge, 2002-15 /"
1111541,(OCoLC)1130312064,0624-B-02 (online),I 19.42/4-4:2019-5044,2019,https://purl.fdlp.gov/GPO/gpo129486;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/sir20195044,20191211,"Using the precipitation-runoff modeling system to predict seasonal water availability in the Upper Klamath River Basin, Oregon and California /",
1111546,(OCoLC)1130312311,0624-B-02 (online),I 19.42/4-4:2019-5055,2019,https://purl.fdlp.gov/GPO/gpo129498;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/sir20195055,20191211,"Use of set blanks in reporting pesticide results at the U.S. Geological Survey National Water Quality Laboratory, 2001-15 /",
1111558,(OCoLC)680161076,0624-B-05 (online),I 19.42/4:84-4333,1985,https://purl.fdlp.gov/GPO/gpo128018;Address at time of PURL creationhttps://pubs.usgs.gov/wri/1984/4333/report.pdf,20191211,"Water-resources appraisal of the Camp Swift lignite area, central Texas /",
1111574,(OCoLC)1130494399,0624-B-02 (online),I 19.42/4-4:2019-5056,2019,https://purl.fdlp.gov/GPO/gpo129502;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/sir20195056,20191212,"Documentation of a Soil-Water-Balance model to estimate recharge to Blue Ridge, Piedmont, and Mesozoic Basin fractured-rock aquifers, Fauquier County, Virginia, 1996 through 2015 /",
1111579,(OCoLC)958901956,0625 (online),I 19.13:798,1937.;1937.,https://purl.fdlp.gov/GPO/gpo129380;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0798/report.pdf,20191212,"The floods of March, 1936.",
1111585,(OCoLC)1130537849,0646-R (online),I 29.89:2013/717,2013,https://purl.fdlp.gov/GPO/gpo129632;Address at time of PURL creationhttps://irma.nps.gov/DataStore/DownloadFile/484509,20191212,Delaware Water Gap National Recreation Area :,geologic resources inventory report /
1111586,(OCoLC)1130539806,0624-B-02 (online),I 19.42/4-4:2019-5062,2019,https://purl.fdlp.gov/GPO/gpo129504;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/sir20195062,20191212,"Evaluation of groundwater resources in the Spanish Valley Watershed, Grand and San Juan Counties, Utah /",
1111587,(OCoLC)985520779,0625 (online),I 19.13:677,1936.;1936.,https://purl.fdlp.gov/GPO/gpo129383;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0677/report.pdf,20191212,Ground water in south-central Tennessee /,
1111588,(OCoLC)1130547789,0624-B-02 (online),I 19.42/4-4:2019-5064,2019,https://purl.fdlp.gov/GPO/gpo129505;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/sir20195064,20191212,"Estimated groundwater recharge from a water-budget model incorporating selected climate projections, island of Maui, Hawai'i /",
1111590,(OCoLC)958900435,0625 (online),I 19.13:796-C,1937.;1937.,https://purl.fdlp.gov/GPO/gpo129384;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0796c/report.pdf,20191212,"Flood in La Canãda Valley, California, January 1, 1934 /",
1111593,(OCoLC)958901937,0625 (online),I 19.13:942,1943.;1943.,https://purl.fdlp.gov/GPO/gpo129387;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0942/report.pdf,20191212,"Quality of surface waters of the United States, 1941 /",
1111595,(OCoLC)961278460,0625 (online),I 19.13:1043,1947.;1947.,https://purl.fdlp.gov/GPO/gpo129390;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/1043/report.pdf,20191212,Surface water supply of the United States 1945.,
1111596,(OCoLC)1130586065,0624-B-02 (online),I 19.42/4-4:2019-5066,2019,https://purl.fdlp.gov/GPO/gpo129506;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/sir20195066,20191212,Development and evaluation of a record extension technique for estimating discharge at selected stream sites in New Hampshire /,
1111598,(OCoLC)1130587999,0624-B-02 (online),I 19.42/4-4:2019-5068,2019,https://purl.fdlp.gov/GPO/gpo129509;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/sir20195068,20191212,"Flood-inundation maps for Joachim Creek, De Soto, Missouri, 2018 /",
1111601,(OCoLC)961278215,0625 (online),I 19.13:1036,1947.;1947.,https://purl.fdlp.gov/GPO/gpo129391;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/1036/report.pdf,20191212,"Surface water supply of the United States, 1945.",
1111602,(OCoLC)961278448,0625 (online),I 19.13:1037,1947.;1947.,https://purl.fdlp.gov/GPO/gpo129394;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/1037/report.pdf,20191212,"Surface water supply of the United States, 1945.",
1111604,(OCoLC)1130588349,0624-B-02 (online),I 19.42/4-4:2019-5072,2019,https://purl.fdlp.gov/GPO/gpo129511;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/sir20195072,20191212,"Arsenic, antimony, mercury, and water temperature in streams near Stibnite Mining Area, central Idaho, 2011-17 /",
1111606,(OCoLC)1130588594,0624-B-02 (online),I 19.42/4-4:2019-5078,2019,https://purl.fdlp.gov/GPO/gpo129512;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/sir20195078,20191212,"Hydrologic balance, water quality, chemical-mass balance, and geochemical modeling of hyperalkaline ponds at Big Marsh, Chicago, Illinois, 2016-17 /",
1111609,(OCoLC)1130588915,0624-B-02 (online),I 19.42/4-4:2019-5082,2019,https://purl.fdlp.gov/GPO/gpo129514;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/sir20195082,20191212,"Characterization of Big Chino Subbasin hydrogeology near Paulden, Arizona, using controlled source audio-frequency magnetotelluric surveys /",
1111613,(OCoLC)958903193,0625 (online),I 19.13:1017,1947.;1947.,https://purl.fdlp.gov/GPO/gpo129400;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/1017/report.pdf,20191212,"Water levels and artesian pressure in observation wells in the United States, 1944.",
1111614,(OCoLC)1130589293,0624-A (online),I 19.15/5:4-A 12,2019,https://purl.fdlp.gov/GPO/gpo129515;Address at time of PURL creationhttps://pubs.er.usgs.gov/publication/tm4A12,20191212,Regionalization of surface-water statistics using multiple linear regression /,
1111615,(OCoLC)961278371,0625 (online),I 19.13:976,1945.;1945.,https://purl.fdlp.gov/GPO/gpo129402;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0976/report.pdf,20191212,"Surface water supply of the United States, 1943.",
1111618,(OCoLC)958902009,0625 (online),I 19.13:967-C,1946.;1946.,https://purl.fdlp.gov/GPO/gpo129404;Address at time of PURL creationhttps://pubs.usgs.gov/wsp/0967c/report.pdf,20191212,Notable local floods of 1939.,
