FIELD/ISSUE,CONTROL_NUM,PURL,
856_41--,(GPO)apn1993-006243,https://purl.fdlp.gov/GPO/LPS60998,
856_41--,(GPO)apn1993-006244,https://purl.fdlp.gov/GPO/LPS60989,
856_41--,(GPO)apn1993-006245,https://purl.fdlp.gov/GPO/LPS60990,
856_41--,(GPO)apn1993-006246,https://purl.fdlp.gov/GPO/LPS61005,
856_41--,(GPO)apn1993-006247,https://purl.fdlp.gov/GPO/LPS60999,
856_41--,(GPO)apn1993-006252,https://purl.fdlp.gov/GPO/LPS60988,
856_41--,(GPO)apn1993-006253,https://purl.fdlp.gov/GPO/LPS60992,
856_41--,(GPO)apn1993-006254,https://purl.fdlp.gov/GPO/LPS61012,
856_41--,(GPO)apn1993-006255,https://purl.fdlp.gov/GPO/LPS61011,
856_41--,(GPO)apn1993-006256,https://purl.fdlp.gov/GPO/LPS61013,
856_41--,(GPO)apn1993-007878,https://purl.fdlp.gov/GPO/LPS61029,
856_41--,(GPO)apn1994-008630,https://purl.fdlp.gov/GPO/LPS60917,
856_41--,(GPO)apn2001-017784,https://purl.fdlp.gov/GPO/LPS61129,
856_41--,(GPO)apn2001-018815,https://purl.fdlp.gov/GPO/LPS61125,
856_41--,(GPO)apn2001-018816,https://purl.fdlp.gov/GPO/LPS61121,
856_41--,(GPO)apn2005-007303,https://purl.fdlp.gov/GPO/LPS61312,
856_41--,(GPO)apn2005-007308,https://purl.fdlp.gov/GPO/LPS60900,
856_41--,(GPO)apn2005-007308,https://purl.fdlp.gov/GPO/LPS60901,
856_41--,(GPO)apn2005-009929,https://purl.fdlp.gov/GPO/LPS61039,
856_41--,(GPO)apn2005-009953,https://purl.fdlp.gov/GPO/LPS61094,
856_41--,(GPO)apn2005-009953,https://purl.fdlp.gov/GPO/LPS61095,
856_41--,(GPO)apn2005-010066,https://purl.fdlp.gov/GPO/LPS60881,
856_41--,(GPO)apn2005-010066,https://purl.fdlp.gov/GPO/LPS60882,
856_41--,(GPO)apn2005-010067,https://purl.fdlp.gov/GPO/LPS60892,
856_41--,(GPO)apn2005-010067,https://purl.fdlp.gov/GPO/LPS60893,
856_41--,(GPO)apn2005-010069,https://purl.fdlp.gov/GPO/LPS60896,
856_41--,(GPO)apn2005-010069,https://purl.fdlp.gov/GPO/LPS60898,
856_41--,(GPO)apn2005-010070,https://purl.fdlp.gov/GPO/LPS60904,
856_41--,(GPO)apn2005-010070,https://purl.fdlp.gov/GPO/LPS60905,
856_41--,(GPO)apn2005-010071,https://purl.fdlp.gov/GPO/LPS60907,
856_41--,(GPO)apn2005-010071,https://purl.fdlp.gov/GPO/LPS60908,
856_41--,(GPO)apn2005-010074,https://purl.fdlp.gov/GPO/LPS60909,
856_41--,(GPO)apn2005-010074,https://purl.fdlp.gov/GPO/LPS60910,
856_41--,(GPO)apn2005-010102,https://purl.fdlp.gov/GPO/LPS61262,
856_41--,(GPO)apn2005-010102,https://purl.fdlp.gov/GPO/LPS61263,
856_41--,(GPO)apn2005-010103,https://purl.fdlp.gov/GPO/LPS60927,
856_41--,(GPO)apn2005-010104,https://purl.fdlp.gov/GPO/LPS60913,
856_41--,(GPO)apn2005-010104,https://purl.fdlp.gov/GPO/LPS60914,
856_41--,(GPO)apn2005-010106 (pt.1),https://purl.fdlp.gov/GPO/LPS60930,
856_41--,(GPO)apn2005-010106 (pt.1),https://purl.fdlp.gov/GPO/LPS60931,
856_41--,(GPO)apn2005-010109,https://purl.fdlp.gov/GPO/LPS60928,
856_41--,(GPO)apn2005-010109,https://purl.fdlp.gov/GPO/LPS60929,
856_41--,(GPO)apn2005-010110,https://purl.fdlp.gov/GPO/LPS61096,
856_41--,(GPO)apn2005-010110,https://purl.fdlp.gov/GPO/LPS61097,
856_41--,(GPO)apn2005-010111,https://purl.fdlp.gov/GPO/LPS61162,
856_41--,(GPO)apn2005-010129,https://purl.fdlp.gov/GPO/LPS61228,
856_41--,(GPO)apn2005-010168,https://purl.fdlp.gov/GPO/LPS60884,
856_41--,(GPO)apn2005-010168,https://purl.fdlp.gov/GPO/LPS60885,
856_41--,(GPO)apn2005-010175,https://purl.fdlp.gov/GPO/LPS60911,
856_41--,(GPO)apn2005-010175,https://purl.fdlp.gov/GPO/LPS60912,
856_41--,(GPO)apn2005-010390,https://purl.fdlp.gov/GPO/LPS60658,
856_41--,(GPO)apn2005-010416,https://purl.fdlp.gov/GPO/LPS61217,
856_41--,(GPO)apn2005-010416,https://purl.fdlp.gov/GPO/LPS61219,
856_41--,(GPO)apn2005-010515,https://purl.fdlp.gov/GPO/LPS61092,
856_41--,(GPO)apn2005-010515,https://purl.fdlp.gov/GPO/LPS61093,
856_41--,(GPO)apn2005-010538,https://purl.fdlp.gov/GPO/LPS61189,
856_41--,(GPO)apn2005-010540,https://purl.fdlp.gov/GPO/LPS61179,
856_41--,(GPO)apn2005-010560,https://purl.fdlp.gov/GPO/LPS60681,
856_41--,(GPO)apn2005-010565,https://purl.fdlp.gov/GPO/LPS61187,
856_41--,(GPO)apn2005-010567,https://purl.fdlp.gov/GPO/LPS61184,
856_41--,(GPO)apn2005-010568 (pt.2),https://purl.fdlp.gov/GPO/LPS62168,
856_41--,(GPO)apn2005-010568 (pt.2),https://purl.fdlp.gov/GPO/LPS60932,
856_41--,(GPO)apn2005-010568 (pt.2),https://purl.fdlp.gov/GPO/LPS60933,
856_41--,(GPO)apn2005-010568 (pt.2),https://purl.fdlp.gov/GPO/LPS61172,
856_41--,(GPO)apn2005-010568 (pt.2),https://purl.fdlp.gov/GPO/LPS61175,
856_41--,(GPO)apn2005-010577,https://purl.fdlp.gov/GPO/LPS61010,
856_41--,(GPO)apn2005-010588,https://purl.fdlp.gov/GPO/LPS60784,
856_41--,(GPO)apn2005-010595,https://purl.fdlp.gov/GPO/LPS60690,
856_41--,(GPO)apn2005-010693,https://purl.fdlp.gov/GPO/LPS61213,
856_41--,(GPO)apn2005-010693,https://purl.fdlp.gov/GPO/LPS61214,
856_41--,(GPO)apn2005-010694,https://purl.fdlp.gov/GPO/LPS61221,
856_41--,(GPO)apn2005-010694,https://purl.fdlp.gov/GPO/LPS61222,
856_41--,(GPO)apn2005-010818,https://purl.fdlp.gov/GPO/LPS60682,
856_41--,(GPO)apn2005-010822,https://purl.fdlp.gov/GPO/LPS61087,
856_41--,(GPO)apn2005-010822,https://purl.fdlp.gov/GPO/LPS61088,
856_41--,(GPO)apn2005-010918,https://purl.fdlp.gov/GPO/LPS61267,
856_41--,(GPO)apn2005-010918,https://purl.fdlp.gov/GPO/LPS61270,
856_41--,(GPO)apn2005-010929,https://purl.fdlp.gov/GPO/LPS62187,
856_41--,(GPO)apn2005-010929,https://purl.fdlp.gov/GPO/LPS62189,
856_41--,(GPO)apn2005-010930,https://purl.fdlp.gov/GPO/LPS62192,
856_41--,(GPO)apn2005-010930,https://purl.fdlp.gov/GPO/LPS62193,
856_41--,(GPO)apn2005-010969,https://purl.fdlp.gov/GPO/LPS61274,
856_41--,(GPO)apn2005-010969,https://purl.fdlp.gov/GPO/LPS61276,
856_41--,(GPO)apn2005-010970,https://purl.fdlp.gov/GPO/LPS61278,
856_41--,(GPO)apn2005-010990,https://purl.fdlp.gov/GPO/LPS61517,
856_41--,(GPO)apn2005-010990,https://purl.fdlp.gov/GPO/LPS61518,
856_41--,(GPO)apn2005-010990,https://purl.fdlp.gov/GPO/LPS61519,
856_41--,(GPO)apn2005-010993,https://purl.fdlp.gov/GPO/LPS61339,
856_41--,(GPO)apn2005-010993,https://purl.fdlp.gov/GPO/LPS61340,
856_41--,(GPO)apn2005-010994,https://purl.fdlp.gov/GPO/LPS61344,
856_41--,(GPO)apn2005-010994,https://purl.fdlp.gov/GPO/LPS61345,
856_41--,(GPO)apn2005-011275,https://purl.fdlp.gov/GPO/LPS61311,
856_41--,(GPO)apn2005-011394,https://purl.fdlp.gov/GPO/LPS60845,
856_41--,(GPO)apn2005-011446,https://purl.fdlp.gov/GPO/LPS61000,
856_41--,(GPO)apn2005-011596,https://purl.fdlp.gov/GPO/LPS61557,
856_41--,(GPO)apn2005-011620,https://purl.fdlp.gov/GPO/LPS61552,
856_41--,(GPO)apn2005-011620,https://purl.fdlp.gov/GPO/LPS61553,
856_41--,(GPO)apn2005-011750,https://purl.fdlp.gov/GPO/LPS61831,
856_41--,(GPO)apn2005-011750,https://purl.fdlp.gov/GPO/LPS61832,
856_41--,(GPO)apn2005-011798,https://purl.fdlp.gov/GPO/LPS61834,
856_41--,(GPO)apn2005-011798,https://purl.fdlp.gov/GPO/LPS61835,
856_41--,(GPO)apn2005-011799,https://purl.fdlp.gov/GPO/LPS61836,
856_41--,(GPO)apn2005-011799,https://purl.fdlp.gov/GPO/LPS61837,
856_41--,(GPO)apn2005-011800,https://purl.fdlp.gov/GPO/LPS61803,
856_41--,(GPO)apn2005-011807,https://purl.fdlp.gov/GPO/LPS61815,
856_41--,(GPO)apn2005-011814,https://purl.fdlp.gov/GPO/LPS61801,
856_41--,(GPO)apn2005-011905,https://purl.fdlp.gov/GPO/LPS62207,
856_41--,(GPO)apn2005-011986,https://purl.fdlp.gov/GPO/LPS62186,
856_41--,(GPO)apn2005-011999,https://purl.fdlp.gov/GPO/LPS62185,
856_41--,(GPO)apn2005-012002,https://purl.fdlp.gov/GPO/LPS62184,
856_41--,(GPO)apn2005-012017,https://purl.fdlp.gov/GPO/LPS62211,
856_41--,(GPO)apn2005-012017,https://purl.fdlp.gov/GPO/LPS62212,
856_41--,(GPO)apn2005-012018,https://purl.fdlp.gov/GPO/LPS62182,
856_41--,(GPO)apn2005-012021,https://purl.fdlp.gov/GPO/LPS62188,
856_41--,(GPO)apn2005-012045 (pt.1),https://purl.fdlp.gov/GPO/LPS62174,
856_41--,(GPO)apn2005-012045 (pt.1),https://purl.fdlp.gov/GPO/LPS62175,
856_41--,(GPO)apn2005-012048,https://purl.fdlp.gov/GPO/LPS61614,
856_41--,(GPO)apn2005-012048,https://purl.fdlp.gov/GPO/LPS61615,
856_41--,(GPO)apn2005-012050,https://purl.fdlp.gov/GPO/LPS61627,
856_41--,(GPO)apn2005-012050,https://purl.fdlp.gov/GPO/LPS61628,
856_41--,(GPO)apn2005-012052,https://purl.fdlp.gov/GPO/LPS61641,
856_41--,(GPO)apn2005-012052,https://purl.fdlp.gov/GPO/LPS61642,
856_41--,(GPO)apn2005-012058,https://purl.fdlp.gov/GPO/LPS62151,
856_41--,(GPO)apn2005-012058,https://purl.fdlp.gov/GPO/LPS62152,
856_41--,(GPO)apn2005-012123,https://purl.fdlp.gov/GPO/LPS62240,
856_41--,(GPO)apn2005-012377,https://purl.fdlp.gov/GPO/LPS62242,
856_41--,(GPO)apn2005-012751,https://purl.fdlp.gov/GPO/LPS62000,
856_41--,(GPO)apn2005-012751,https://purl.fdlp.gov/GPO/LPS62001,
856_41--,(GPO)apn92-030236,https://purl.fdlp.gov/GPO/LPS61882,
856_41--,(GPO)apn92-030237,https://purl.fdlp.gov/GPO/LPS61911,
856_41--,(GPO)apn92-030248,https://purl.fdlp.gov/GPO/LPS61753,
856_41--,(GPO)apn92-030251,https://purl.fdlp.gov/GPO/LPS61914,
856_41--,(GPO)apn92-030347,https://purl.fdlp.gov/GPO/LPS62540,
856_41--,(GPO)apn92-030714,https://purl.fdlp.gov/GPO/LPS61905,
856_41--,(GPO)apn93-006139,https://purl.fdlp.gov/GPO/LPS60843,
856_41--,(GPO)apn93-006153,https://purl.fdlp.gov/GPO/LPS60840,
856_41--,(GPO)apn93-014565,https://purl.fdlp.gov/GPO/LPS61764,
856_41--,(GPO)apn93-014571,https://purl.fdlp.gov/GPO/LPS61408,
856_41--,(GPO)apn93-014577,https://purl.fdlp.gov/GPO/LPS61360,
856_41--,(GPO)apn93-014580,https://purl.fdlp.gov/GPO/LPS61775,
856_41--,(GPO)apn93-014581,https://purl.fdlp.gov/GPO/LPS61406,
856_41--,(GPO)apn93-014583,https://purl.fdlp.gov/GPO/LPS61762,
856_41--,(GPO)apn93-014586,https://purl.fdlp.gov/GPO/LPS61778,
856_41--,(GPO)apn93-018028,https://purl.fdlp.gov/GPO/LPS61358,
856_41--,(GPO)apn93-018043,https://purl.fdlp.gov/GPO/LPS61357,
856_41--,(GPO)apn93-023992,https://purl.fdlp.gov/GPO/LPS61132,
856_41--,(OCoLC)00090349,https://purl.fdlp.gov/GPO/LPS35914,
856_41--,(OCoLC)00091832,https://purl.fdlp.gov/GPO/LPS35917,
856_41--,(OCoLC)00093491,https://purl.fdlp.gov/GPO/LPS35918,
856_41--,(OCoLC)00268299,https://purl.fdlp.gov/GPO/LPS63041,
856_41--,(OCoLC)00801357,https://purl.fdlp.gov/GPO/LPS21746,
856_41--,(OCoLC)00984067,https://purl.fdlp.gov/GPO/LPS41248,
856_41--,(OCoLC)00995172,https://purl.fdlp.gov/GPO/LPS41251,
856_41--,(OCoLC)01140071,https://purl.fdlp.gov/GPO/LPS31957,
856_41--,(OCoLC)01144706,https://purl.fdlp.gov/GPO/LPS41250,
856_41--,(OCoLC)01168068,https://purl.fdlp.gov/GPO/LPS25040,
856_41--,(OCoLC)01197824,https://purl.fdlp.gov/GPO/LPS1845,
856_41--,(OCoLC)01205383,https://purl.fdlp.gov/GPO/LPS20021,
856_41--,(OCoLC)01236164,https://purl.fdlp.gov/GPO/LPS28389,
856_41--,(OCoLC)01249089,https://purl.fdlp.gov/GPO/LPS273,
856_41--,(OCoLC)01348158,https://purl.fdlp.gov/GPO/LPS36399,
856_41--,(OCoLC)01388055,https://purl.fdlp.gov/GPO/LPS1468,
856_41--,(OCoLC)01421167,https://purl.fdlp.gov/GPO/LPS3932,
856_41--,(OCoLC)01481549,https://purl.fdlp.gov/GPO/LPS2781,
856_41--,(OCoLC)01592797,https://purl.fdlp.gov/GPO/LPS6234,
856_41--,(OCoLC)01639625,https://purl.fdlp.gov/GPO/LPS18195,
856_41--,(OCoLC)01718181,https://purl.fdlp.gov/GPO/LPS21749,
856_41--,(OCoLC)01787566,https://purl.fdlp.gov/GPO/LPS4584,
856_41--,(OCoLC)01788588,https://purl.fdlp.gov/GPO/LPS44898,
856_41--,(OCoLC)01796776,https://purl.fdlp.gov/GPO/LPS3251,
856_41--,(OCoLC)01797988,https://purl.fdlp.gov/GPO/LPS4010,
856_41--,(OCoLC)01908932,https://purl.fdlp.gov/GPO/LPS29087,
856_41--,(OCoLC)02005819,https://purl.fdlp.gov/GPO/LPS30576,
856_41--,(OCoLC)02023271,https://purl.fdlp.gov/GPO/LPS3564,
856_41--,(OCoLC)02108748,https://purl.fdlp.gov/GPO/LPS29094,
856_41--,(OCoLC)02128556,https://purl.fdlp.gov/GPO/LPS30577,
856_41--,(OCoLC)02165904,https://purl.fdlp.gov/GPO/LPS3082,
856_41--,(OCoLC)02242104,https://purl.fdlp.gov/GPO/LPS3625,
856_41--,(OCoLC)02252866,https://purl.fdlp.gov/GPO/LPS541,
856_41--,(OCoLC)02268085,https://purl.fdlp.gov/GPO/LPS3386,
856_41--,(OCoLC)02292830,https://purl.fdlp.gov/GPO/LPS28349,
856_41--,(OCoLC)02344493,https://purl.fdlp.gov/GPO/LPS29088,
856_41--,(OCoLC)02473947,https://purl.fdlp.gov/GPO/LPS29096,
856_41--,(OCoLC)02520397,https://purl.fdlp.gov/GPO/LPS2006,
856_41--,(OCoLC)02520397,http://www.uscg.mil/hq/g-m/nmc/pubs/proceed/index.htm,
856_41--,(OCoLC)02532948,https://purl.fdlp.gov/GPO/LPS9458,
856_41--,(OCoLC)02565440,https://purl.fdlp.gov/GPO/LPS20364,
856_41--,(OCoLC)02582283,https://purl.fdlp.gov/GPO/LPS1704,
856_41--,(OCoLC)02600819,https://purl.fdlp.gov/GPO/LPS57309,
856_41--,(OCoLC)02669376,https://purl.fdlp.gov/GPO/LPS52400,
856_41--,(OCoLC)02671650,https://purl.fdlp.gov/GPO/LPS30500,
856_41--,(OCoLC)02674103,https://purl.fdlp.gov/GPO/LPS30436,
856_41--,(OCoLC)02687889,https://purl.fdlp.gov/GPO/LPS1173,
856_41--,(OCoLC)02698309,https://purl.fdlp.gov/GPO/LPS5788,
856_41--,(OCoLC)02703294,https://purl.fdlp.gov/GPO/LPS3600,
856_41--,(OCoLC)02704690,https://purl.fdlp.gov/GPO/LPS6652,
856_41--,(OCoLC)02739273,https://purl.fdlp.gov/GPO/LPS5856,
856_41--,(OCoLC)02745724,https://purl.fdlp.gov/GPO/LPS28703,
856_41--,(OCoLC)02760305,https://purl.fdlp.gov/GPO/LPS2696,
856_41--,(OCoLC)02777745,https://purl.fdlp.gov/GPO/LPS53694,
856_41--,(OCoLC)02777779,https://purl.fdlp.gov/GPO/LPS53694,
856_41--,(OCoLC)02785970,https://purl.fdlp.gov/GPO/LPS53694,
856_41--,(OCoLC)02786170,https://purl.fdlp.gov/GPO/LPS53694,
856_41--,(OCoLC)02786205,https://purl.fdlp.gov/GPO/LPS53694,
856_41--,(OCoLC)02786573,https://purl.fdlp.gov/GPO/LPS53694,
856_41--,(OCoLC)02819137,https://purl.fdlp.gov/GPO/LPS30443,
856_41--,(OCoLC)02853368,https://purl.fdlp.gov/GPO/LPS32183,
856_41--,(OCoLC)02854562,https://purl.fdlp.gov/GPO/LPS9003,
856_41--,(OCoLC)02876429,https://purl.fdlp.gov/GPO/LPS30406,
856_41--,(OCoLC)02921478,https://purl.fdlp.gov/GPO/LPS53694,
856_41--,(OCoLC)02921561,https://purl.fdlp.gov/GPO/LPS53694,
856_41--,(OCoLC)02921657,https://purl.fdlp.gov/GPO/LPS53694,
856_41--,(OCoLC)02921894,https://purl.fdlp.gov/GPO/LPS53694,
856_41--,(OCoLC)02921959,https://purl.fdlp.gov/GPO/LPS53694,
856_41--,(OCoLC)02922914,https://purl.fdlp.gov/GPO/LPS53694,
856_41--,(OCoLC)02923072,https://purl.fdlp.gov/GPO/LPS53694,
856_41--,(OCoLC)02923217,https://purl.fdlp.gov/GPO/LPS53694,
856_41--,(OCoLC)02943248,https://purl.fdlp.gov/GPO/LPS6302,
856_41--,(OCoLC)03012653,https://purl.fdlp.gov/GPO/LPS757,
856_41--,(OCoLC)03028151,https://purl.fdlp.gov/GPO/LPS45943,
856_41--,(OCoLC)03033017,https://purl.fdlp.gov/GPO/LPS49030,
856_41--,(OCoLC)03034893,https://purl.fdlp.gov/GPO/LPS30424,
856_41--,(OCoLC)03049237,https://purl.fdlp.gov/GPO/LPS28358,
856_41--,(OCoLC)03054580,https://purl.fdlp.gov/GPO/LPS42996,
856_41--,(OCoLC)03063752,https://purl.fdlp.gov/GPO/LPS30481,
856_41--,(OCoLC)03065922,https://purl.fdlp.gov/GPO/LPS54364,
856_41--,(OCoLC)03072453,https://purl.fdlp.gov/GPO/LPS29396,
856_41--,(OCoLC)03090127,https://purl.fdlp.gov/GPO/LPS29397,
856_41--,(OCoLC)03116251,https://purl.fdlp.gov/GPO/LPS57086,
856_41--,(OCoLC)03134499,https://purl.fdlp.gov/GPO/LPS30490,
856_41--,(OCoLC)03137032,https://purl.fdlp.gov/GPO/LPS53694,
856_41--,(OCoLC)03166671,https://purl.fdlp.gov/GPO/LPS29400,
856_41--,(OCoLC)03166672,https://purl.fdlp.gov/GPO/LPS29399,
856_41--,(OCoLC)03168200,https://purl.fdlp.gov/GPO/LPS29401,
856_41--,(OCoLC)03169949,https://purl.fdlp.gov/GPO/LPS3419,
856_41--,(OCoLC)03177108,https://purl.fdlp.gov/GPO/LPS29103,
856_41--,(OCoLC)03177108,https://purl.fdlp.gov/GPO/LPS29104,
856_41--,(OCoLC)03177108,https://purl.fdlp.gov/GPO/LPS29105,
856_41--,(OCoLC)03244538,https://purl.fdlp.gov/GPO/LPS29111,
856_41--,(OCoLC)03261123,https://purl.fdlp.gov/GPO/LPS2049,
856_41--,(OCoLC)03285771,https://purl.fdlp.gov/GPO/LPS53694,
856_41--,(OCoLC)03310655,https://purl.fdlp.gov/GPO/LPS30550,
856_41--,(OCoLC)03313126,https://purl.fdlp.gov/GPO/LPS29486,
856_41--,(OCoLC)03313712,https://purl.fdlp.gov/GPO/LPS6221,
856_41--,(OCoLC)03378391,https://purl.fdlp.gov/GPO/LPS29402,
856_41--,(OCoLC)03439741,https://purl.fdlp.gov/GPO/LPS2048,
856_41--,(OCoLC)03452838,https://purl.fdlp.gov/GPO/LPS29092,
856_41--,(OCoLC)03472908,https://purl.fdlp.gov/GPO/LPS33110,
856_41--,(OCoLC)03499675,https://purl.fdlp.gov/GPO/LPS3393,
856_41--,(OCoLC)03530066,https://purl.fdlp.gov/GPO/LPS29113,
856_41--,(OCoLC)03582309,https://purl.fdlp.gov/GPO/LPS702,
856_41--,(OCoLC)03627153,https://purl.fdlp.gov/GPO/LPS30395,
856_41--,(OCoLC)03645958,https://purl.fdlp.gov/GPO/LPS30483,
856_41--,(OCoLC)03786591,https://purl.fdlp.gov/GPO/LPS29095,
856_41--,(OCoLC)03790142,https://purl.fdlp.gov/GPO/LPS35877,
856_41--,(OCoLC)03802909,https://purl.fdlp.gov/GPO/LPS53694,
856_41--,(OCoLC)03802932,https://purl.fdlp.gov/GPO/LPS53694,
856_41--,(OCoLC)03802982,https://purl.fdlp.gov/GPO/LPS53694,
856_41--,(OCoLC)03803027,https://purl.fdlp.gov/GPO/LPS53694,
856_41--,(OCoLC)03811904,https://purl.fdlp.gov/GPO/LPS22601,
856_41--,(OCoLC)03865598,https://purl.fdlp.gov/GPO/LPS22765,
856_41--,(OCoLC)03873834,https://purl.fdlp.gov/GPO/LPS4994,
856_41--,(OCoLC)03930386,https://purl.fdlp.gov/GPO/LPS30494,
856_41--,(OCoLC)03948440,https://purl.fdlp.gov/GPO/LPS56632,
856_41--,(OCoLC)03967204,https://purl.fdlp.gov/GPO/LPS673,
856_41--,(OCoLC)03967204,http://www.bts.gov/btsprod/nts/,
856_41--,(OCoLC)03973596,https://purl.fdlp.gov/GPO/LPS1693,
856_41--,(OCoLC)03979321,https://purl.fdlp.gov/GPO/LPS56631,
856_41--,(OCoLC)03991936,https://purl.fdlp.gov/GPO/LPS30402,
856_41--,(OCoLC)04007924,https://purl.fdlp.gov/GPO/LPS29121,
856_41--,(OCoLC)04021147,https://purl.fdlp.gov/GPO/LPS24161,
856_41--,(OCoLC)04043433,https://purl.fdlp.gov/GPO/LPS365,
856_41--,(OCoLC)04104384,https://purl.fdlp.gov/GPO/LPS30587,
856_41--,(OCoLC)04110972,https://purl.fdlp.gov/GPO/LPS56020,
856_41--,(OCoLC)04131480,https://purl.fdlp.gov/GPO/LPS59437,
856_41--,(OCoLC)04135297,https://purl.fdlp.gov/GPO/LPS29403,
856_41--,(OCoLC)04158997,https://purl.fdlp.gov/GPO/LPS5371,
856_41--,(OCoLC)04162311,https://purl.fdlp.gov/GPO/LPS53694,
856_41--,(OCoLC)04167646,https://purl.fdlp.gov/GPO/LPS53694,
856_41--,(OCoLC)04179755,https://purl.fdlp.gov/GPO/LPS20195,
856_41--,(OCoLC)04206304,https://purl.fdlp.gov/GPO/LPS5743,
856_41--,(OCoLC)04242210,https://purl.fdlp.gov/GPO/LPS29115,
